Trimestre,Decil,Desde,Hasta,Poblacion,IngresoTotal,PorcentajeDelIngreso,IngresoMedio
3,1,50,2500,1642201,2247603,1.2,1369
3,2,2500,4200,1642636,5713717,3.1,3478
3,3,4220,5000,1642414,7913370,4.3,4818
3,4,5000,6800,1641637,9545233,5.2,5815
3,5,6800,8000,1640986,12301014,6.7,7496
3,6,8000,10000,1642552,15058098,8.2,9168
3,7,10000,12000,1644334,18355278,10.0,11163
3,8,12000,15900,1640052,23231784,12.7,14165
3,9,15900,22500,1640674,30870222,16.9,18816
3,10,22500,274000,1641760,57458735,31.5,34998
2,1,22,2470,1618265,2121559,1.4,1311
2,2,2475,4000,1616771,5337631,3.4,3301
2,3,4000,4800,1617945,7243509,4.6,4477
2,4,4800,6000,1615707,8257147,5.3,5111
2,5,6000,7200,1617192,10460353,6.7,6468
2,6,7200,9000,1617391,13181779,8.4,8150
2,7,9000,10500,1617847,15771723,10.0,9749
2,8,10500,14000,1616376,19573983,12.5,12110
2,9,14000,20000,1617180,26059828,16.6,16114
2,10,20000,715000,1617037,49116308,31.3,30374
